plate,well,OD595
NCIDIV_4866,H02,0.5998
NCIDIV_4866,A03,0.6241
NCIDIV_4866,B03,0.6238
NCIDIV_4866,C03,0.6348
NCIDIV_4866,D03,0.614
NCIDIV_4866,E03,0.3629
NCIDIV_4866,F03,0.8037
NCIDIV_4866,G03,0.0396
NCIDIV_4866,H03,0.6608
NCIDIV_4866,A04,0.6196
NCIDIV_4866,B04,0.6102
NCIDIV_4866,C04,0.6188
NCIDIV_4866,D04,0.4993
NCIDIV_4866,E04,0.6061
NCIDIV_4866,F04,0.6082
NCIDIV_4866,G04,0.6352
NCIDIV_4866,H04,0.6271
NCIDIV_4866,A05,0.6088
NCIDIV_4866,B05,0.6199
NCIDIV_4866,C05,0.6137
NCIDIV_4866,D05,0.5621
NCIDIV_4866,E05,0.6022
NCIDIV_4866,F05,0.5993
NCIDIV_4866,G05,0.6034
NCIDIV_4866,H05,0.6396
NCIDIV_4866,A06,0.6091
NCIDIV_4866,B06,0.6065
NCIDIV_4866,C06,0.5766
NCIDIV_4866,D06,0.5926
NCIDIV_4866,E06,0.5986
NCIDIV_4866,F06,0.6236
NCIDIV_4866,G06,0.6103
NCIDIV_4866,H06,0.5911
NCIDIV_4866,A07,0.6184
NCIDIV_4866,B07,0.6077
NCIDIV_4866,C07,0.6067
NCIDIV_4866,D07,0.597
NCIDIV_4866,E07,0.5938
NCIDIV_4866,F07,0.4985
NCIDIV_4866,G07,0.5888
NCIDIV_4866,H07,0.6263
NCIDIV_4866,A08,0.6032
NCIDIV_4866,B08,0.4958
NCIDIV_4866,C08,0.5925
NCIDIV_4866,D08,0.5886
NCIDIV_4866,E08,0.5726
NCIDIV_4866,F08,0.5796
NCIDIV_4866,G08,0.5994
NCIDIV_4866,H08,0.6114
NCIDIV_4866,A09,0.5492
NCIDIV_4866,B09,0.5446
NCIDIV_4866,C09,0.5923
NCIDIV_4866,D09,0.4127
NCIDIV_4866,E09,0.4998
NCIDIV_4866,F09,0.5417
NCIDIV_4866,G09,0.6057
NCIDIV_4866,H09,0.6015
NCIDIV_4866,A10,0.5882
NCIDIV_4866,B10,0.6053
NCIDIV_4866,C10,0.5905
NCIDIV_4866,D10,0.4851
NCIDIV_4866,E10,0.5881
NCIDIV_4866,F10,0.0348
NCIDIV_4866,G10,0.5705
NCIDIV_4866,H10,0.6088
NCIDIV_4866,A11,0.7178
NCIDIV_4866,B11,0.5803
NCIDIV_4866,C11,0.0335
NCIDIV_4866,D11,0.554
NCIDIV_4866,E11,0.5767
NCIDIV_4866,F11,0.5634
NCIDIV_4866,G11,0.5917
NCIDIV_4866,H11,0.5979
NCIDIV_4866,A12,0.6004
NCIDIV_4866,B12,0.4788
NCIDIV_4866,C12,0.5907
NCIDIV_4866,D12,0.5998
NCIDIV_4866,E12,0.5697
NCIDIV_4866,F12,0.5494
NCIDIV_4866,G12,0.5444
NCIDIV_4866,H12,0.6053
NCIDIV_4867,A01,0.6253
NCIDIV_4867,B01,0.6061
NCIDIV_4867,C01,0.6222
NCIDIV_4867,D01,0.6025
NCIDIV_4867,E01,0.59
NCIDIV_4867,F01,0.0361
NCIDIV_4867,G01,0.5936
NCIDIV_4867,H01,0.6049
NCIDIV_4867,A02,0.61
NCIDIV_4867,B02,0.6081
NCIDIV_4867,C02,0.0437
NCIDIV_4867,D02,0.599
NCIDIV_4867,E02,0.5887
NCIDIV_4867,F02,0.5852
NCIDIV_4867,G02,0.5824
NCIDIV_4867,H02,0.558
NCIDIV_4867,A03,0.6104
NCIDIV_4867,B03,0.5605
NCIDIV_4867,C03,0.0449
NCIDIV_4867,D03,0.5681
NCIDIV_4867,E03,0.5971
NCIDIV_4867,F03,0.5815
NCIDIV_4867,G03,0.6021
NCIDIV_4867,H03,0.5988
NCIDIV_4867,A04,0.6052
NCIDIV_4867,B04,0.5828
NCIDIV_4867,C04,0.6271
NCIDIV_4867,D04,0.5856
NCIDIV_4867,E04,0.4401
NCIDIV_4867,F04,0.5794
NCIDIV_4867,G04,0.5919
NCIDIV_4867,H04,0.5573
NCIDIV_4867,A05,0.7308
NCIDIV_4867,B05,0.5392
NCIDIV_4867,C05,0.5865
NCIDIV_4867,D05,0.5293
NCIDIV_4867,E05,0.5897
NCIDIV_4867,F05,0.5884
NCIDIV_4867,G05,0.5865
NCIDIV_4867,H05,0.5768
NCIDIV_4867,A06,0.368
NCIDIV_4867,B06,0.4817
NCIDIV_4867,C06,0.5678
NCIDIV_4867,D06,0.5859
NCIDIV_4867,E06,0.5924
NCIDIV_4867,F06,0.7706
NCIDIV_4867,G06,0.5922
NCIDIV_4867,H06,0.5948
NCIDIV_4867,A07,0.598
NCIDIV_4867,B07,0.6166
NCIDIV_4867,C07,0.6236
NCIDIV_4867,D07,0.5984
NCIDIV_4867,E07,0.6013
NCIDIV_4867,F07,0.5807
NCIDIV_4867,G07,0.5037
NCIDIV_4867,H07,0.5167
NCIDIV_4867,A08,0.605
NCIDIV_4867,B08,0.5898
NCIDIV_4867,C08,0.0387
NCIDIV_4867,D08,0.6045
NCIDIV_4867,E08,0.5968
NCIDIV_4867,F08,0.4393
NCIDIV_4867,G08,0.5278
NCIDIV_4867,H08,0.5985
NCIDIV_4867,A09,0.1002
NCIDIV_4867,B09,0.6267
NCIDIV_4867,C09,0.6139
NCIDIV_4867,D09,0.6005
NCIDIV_4867,E09,0.3585
NCIDIV_4867,F09,0.6115
NCIDIV_4867,G09,0.6014
NCIDIV_4867,H09,0.6134
NCIDIV_4867,A10,0.6064
NCIDIV_4867,B10,0.6037
NCIDIV_4867,C10,0.6147
NCIDIV_4867,D10,0.6055
NCIDIV_4867,E10,0.5958
NCIDIV_4867,F10,0.6059
NCIDIV_4867,G10,0.6162
NCIDIV_4867,H10,0.6337
NCIDIV_4867,A11,0.6058
NCIDIV_4867,B11,0.3133
NCIDIV_4867,C11,0.6075
NCIDIV_4867,D11,0.6016
NCIDIV_4867,E11,0.5968
NCIDIV_4867,F11,0.4795
NCIDIV_4867,G11,0.6288
NCIDIV_4867,H11,0.6463
NCIDIV_4867,A12,0.0772
NCIDIV_4867,B12,0.6174
NCIDIV_4867,C12,0.6171
NCIDIV_4867,D12,0.6124
NCIDIV_4867,E12,0.6223
NCIDIV_4867,F12,0.6236
NCIDIV_4867,G12,0.5876
NCIDIV_4867,H12,0.6113
NCIDIV_4868,A01,0.6576
NCIDIV_4868,B01,0.6424
NCIDIV_4868,C01,0.6341
NCIDIV_4868,D01,0.6182
NCIDIV_4868,E01,0.6219
NCIDIV_4868,F01,0.5766
NCIDIV_4868,G01,0.0854
NCIDIV_4868,H01,0.5684
NCIDIV_4868,A02,0.3216
NCIDIV_4868,B02,0.6321
NCIDIV_4868,C02,0.6029
NCIDIV_4868,D02,0.6138
NCIDIV_4868,E02,0.6199
NCIDIV_4868,F02,0.5954
NCIDIV_4868,G02,0.5994
NCIDIV_4868,H02,0.0411
NCIDIV_4868,A03,0.7131
NCIDIV_4868,B03,0.651
NCIDIV_4868,C03,0.4073
NCIDIV_4868,D03,0.6106
NCIDIV_4868,E03,0.6016
NCIDIV_4868,F03,0.6112
NCIDIV_4868,G03,0.201
NCIDIV_4868,H03,0.5529
NCIDIV_4868,A04,0.6274
NCIDIV_4868,B04,0.6111
NCIDIV_4868,C04,0.5807
NCIDIV_4868,D04,0.6032
NCIDIV_4868,E04,0.4263
NCIDIV_4868,F04,0.5936
NCIDIV_4868,G04,0.4591
NCIDIV_4868,H04,0.5713
NCIDIV_4868,A05,0.6232
NCIDIV_4868,B05,0.5997
NCIDIV_4868,C05,0.474
NCIDIV_4868,D05,0.483
NCIDIV_4868,E05,0.3509
NCIDIV_4868,F05,0.6041
NCIDIV_4868,G05,0.4772
NCIDIV_4868,H05,0.451
NCIDIV_4868,A06,0.6137
NCIDIV_4868,B06,0.5928
NCIDIV_4868,C06,0.6107
NCIDIV_4868,D06,0.6014
NCIDIV_4868,E06,0.5642
NCIDIV_4868,F06,0.7891
NCIDIV_4868,G06,0.5871
NCIDIV_4868,H06,0.5699
NCIDIV_4868,A07,0.6251
NCIDIV_4868,B07,0.6156
NCIDIV_4868,C07,0.479
NCIDIV_4868,D07,0.0341
NCIDIV_4868,E07,0.5833
NCIDIV_4868,F07,0.5497
NCIDIV_4868,G07,0.5623
NCIDIV_4868,H07,0.5386
NCIDIV_4868,A08,0.5719
NCIDIV_4868,B08,0.5877
NCIDIV_4868,C08,0.4507
NCIDIV_4868,D08,0.4264
NCIDIV_4868,E08,0.5767
NCIDIV_4868,F08,0.5855
NCIDIV_4868,G08,0.5167
NCIDIV_4868,H08,0.2578
NCIDIV_4868,A09,0.6148
NCIDIV_4868,B09,0.5861
NCIDIV_4868,C09,0.528
NCIDIV_4868,D09,0.5079
NCIDIV_4868,E09,0.3789
NCIDIV_4868,F09,0.5795
NCIDIV_4868,G09,0.5821
NCIDIV_4868,H09,0.5798
NCIDIV_4868,A10,0.6192
NCIDIV_4868,B10,0.5618
NCIDIV_4868,C10,0.5901
NCIDIV_4868,D10,0.5936
NCIDIV_4868,E10,0.6046
NCIDIV_4868,F10,0.5949
NCIDIV_4868,G10,0.4455
NCIDIV_4868,H10,0.5995
NCIDIV_4868,A11,0.601
NCIDIV_4868,B11,0.5806
NCIDIV_4868,C11,0.5334
NCIDIV_4868,D11,0.5881
NCIDIV_4868,E11,0.6024
NCIDIV_4868,F11,0.5182
NCIDIV_4868,G11,0.5873
NCIDIV_4868,H11,0.562
NCIDIV_4868,A12,0.616
NCIDIV_4868,B12,0.6063
NCIDIV_4868,C12,0.5928
NCIDIV_4868,D12,0.4924
NCIDIV_4868,E12,0.5925
NCIDIV_4868,F12,0.5995
NCIDIV_4868,G12,0.5914
NCIDIV_4868,H12,0.4884
NCIDIV_4869,A01,0.4559
NCIDIV_4869,B01,0.5437
NCIDIV_4869,C01,0.5883
NCIDIV_4869,D01,0.4196
NCIDIV_4869,E01,0.0999
NCIDIV_4869,F01,0.5589
NCIDIV_4869,G01,0.5768
NCIDIV_4869,H01,0.568
NCIDIV_4869,A02,0.4788
NCIDIV_4869,B02,0.0451
NCIDIV_4869,C02,0.5594
NCIDIV_4869,D02,0.511
NCIDIV_4869,E02,0.5069
NCIDIV_4869,F02,0.5755
NCIDIV_4869,G02,0.5698
NCIDIV_4869,H02,0.5711
NCIDIV_4869,A03,0.5495
NCIDIV_4869,B03,0.5535
NCIDIV_4869,C03,0.559
NCIDIV_4869,D03,0.5602
NCIDIV_4869,E03,0.5551
NCIDIV_4869,F03,0.5886
NCIDIV_4869,G03,0.5728
NCIDIV_4869,H03,0.5722
NCIDIV_4869,A04,0.4923
NCIDIV_4869,B04,0.5523
NCIDIV_4869,C04,0.5563
NCIDIV_4869,D04,0.5661
NCIDIV_4869,E04,0.5664
NCIDIV_4869,F04,0.5474
NCIDIV_4869,G04,0.5778
NCIDIV_4869,H04,0.5863
NCIDIV_4869,A05,0.547
NCIDIV_4869,B05,0.556
NCIDIV_4869,C05,0.5537
NCIDIV_4869,D05,0.5657
NCIDIV_4869,E05,0.5684
NCIDIV_4869,F05,0.5849
NCIDIV_4869,G05,0.586
NCIDIV_4869,H05,0.3772
NCIDIV_4869,A06,0.5324
NCIDIV_4869,B06,0.3443
NCIDIV_4869,C06,0.0706
NCIDIV_4869,D06,0.5567
NCIDIV_4869,E06,0.5805
NCIDIV_4869,F06,0.408
NCIDIV_4869,G06,0.594
NCIDIV_4869,H06,0.5296
NCIDIV_4869,A07,0.564
NCIDIV_4869,B07,0.4896
NCIDIV_4869,C07,0.5682
NCIDIV_4869,D07,0.5772
NCIDIV_4869,E07,0.5833
NCIDIV_4869,F07,0.6046
NCIDIV_4869,G07,0.6028
NCIDIV_4869,H07,0.6187
NCIDIV_4869,A08,0.6051
NCIDIV_4869,B08,0.5886
NCIDIV_4869,C08,0.6049
NCIDIV_4869,D08,0.5985
NCIDIV_4869,E08,0.75
NCIDIV_4869,F08,0.251
NCIDIV_4869,G08,0.6338
NCIDIV_4869,H08,0.0414
NCIDIV_4869,A09,0.6166
NCIDIV_4869,B09,0.591
NCIDIV_4869,C09,0.6033
NCIDIV_4869,D09,0.6854
NCIDIV_4869,E09,0.6474
NCIDIV_4869,F09,0.0391
NCIDIV_4869,G09,0.6393
NCIDIV_4869,H09,0.4906
NCIDIV_4869,A10,0.7208
NCIDIV_4869,B10,0.6683
NCIDIV_4869,C10,0.6601
NCIDIV_4869,D10,0.7514
NCIDIV_4869,E10,0.6642
NCIDIV_4869,F10,0.119
NCIDIV_4869,G10,0.3069
NCIDIV_4869,H10,0.6298
NCIDIV_4869,A11,0.7473
NCIDIV_4869,B11,0.7163
NCIDIV_4869,C11,0.6944
NCIDIV_4869,D11,0.6768
NCIDIV_4869,E11,0.6382
NCIDIV_4869,F11,0.6034
NCIDIV_4869,G11,0.0346
NCIDIV_4869,H11,0.6391
NCIDIV_4869,A12,0.7703
NCIDIV_4869,B12,0.746
NCIDIV_4869,C12,0.7152
NCIDIV_4869,D12,0.6861
NCIDIV_4869,E12,0.6811
NCIDIV_4869,F12,0.6764
NCIDIV_4869,G12,0.5403
NCIDIV_4869,H12,0.6359
NCIDIV_4870,A01,0.603
NCIDIV_4870,B01,0.611
NCIDIV_4870,C01,0.0333
NCIDIV_4870,D01,0.6253
NCIDIV_4870,E01,0.5964
NCIDIV_4870,F01,0.6106
NCIDIV_4870,G01,0.6318
NCIDIV_4870,H01,0.6121
NCIDIV_4870,A02,0.5965
NCIDIV_4870,B02,0.5655
NCIDIV_4870,C02,0.6213
NCIDIV_4870,D02,0.5924
NCIDIV_4870,E02,0.5628
NCIDIV_4870,F02,0.613
NCIDIV_4870,G02,0.6152
NCIDIV_4870,H02,0.5664
NCIDIV_4870,A03,0.5986
NCIDIV_4870,B03,0.6191
NCIDIV_4870,C03,0.5923
NCIDIV_4870,D03,0.6247
NCIDIV_4870,E03,0.6257
NCIDIV_4870,F03,0.6139
NCIDIV_4870,G03,0.6204
NCIDIV_4870,H03,0.6132
NCIDIV_4870,A04,0.5592
NCIDIV_4870,B04,0.1084
NCIDIV_4870,C04,0.6182
NCIDIV_4870,D04,0.6169
NCIDIV_4870,E04,0.6208
NCIDIV_4870,F04,0.6142
NCIDIV_4870,G04,0.5868
NCIDIV_4870,H04,0.617
NCIDIV_4870,A05,0.5428
NCIDIV_4870,B05,0.4354
NCIDIV_4870,C05,0.6148
NCIDIV_4870,D05,0.5968
NCIDIV_4870,E05,0.6211
NCIDIV_4870,F05,0.2585
NCIDIV_4870,G05,0.5779
NCIDIV_4870,H05,0.6463
NCIDIV_4870,A06,0.5134
NCIDIV_4870,B06,0.6191
NCIDIV_4870,C06,0.0339
NCIDIV_4870,D06,0.5977
NCIDIV_4870,E06,0.6235
NCIDIV_4870,F06,0.6273
NCIDIV_4870,G06,0.612
NCIDIV_4870,H06,0.6172
NCIDIV_4870,A07,0.615
NCIDIV_4870,B07,0.6046
NCIDIV_4870,C07,0.5631
NCIDIV_4870,D07,0.6098
NCIDIV_4870,E07,0.6081
NCIDIV_4870,F07,0.6119
NCIDIV_4870,G07,0.6187
NCIDIV_4870,H07,0.6375
NCIDIV_4870,A08,0.582
NCIDIV_4870,B08,0.592
NCIDIV_4870,C08,0.614
NCIDIV_4870,D08,0.6081
NCIDIV_4870,E08,0.7549
NCIDIV_4870,F08,0.6255
NCIDIV_4870,G08,0.6353
NCIDIV_4870,H08,0.0851
NCIDIV_4870,A09,0.5942
NCIDIV_4870,B09,0.6194
NCIDIV_4870,C09,0.6303
NCIDIV_4870,D09,0.6987
NCIDIV_4870,E09,0.6577
NCIDIV_4870,F09,0.646
NCIDIV_4870,G09,0.6053
NCIDIV_4870,H09,0.6286
NCIDIV_4870,A10,0.6064
NCIDIV_4870,B10,0.6028
NCIDIV_4870,C10,0.6331
NCIDIV_4870,D10,0.7336
NCIDIV_4870,E10,0.6784
NCIDIV_4870,F10,0.6511
NCIDIV_4870,G10,0.6553
NCIDIV_4870,H10,0.6416
NCIDIV_4870,A11,0.7023
NCIDIV_4870,B11,0.6886
NCIDIV_4870,C11,0.5418
NCIDIV_4870,D11,0.6383
NCIDIV_4870,E11,0.3086
NCIDIV_4870,F11,0.6536
NCIDIV_4870,G11,0.6473
NCIDIV_4870,H11,0.6283
NCIDIV_4870,A12,0.7338
NCIDIV_4870,B12,0.6581
NCIDIV_4870,C12,0.7036
NCIDIV_4870,D12,0.6453
NCIDIV_4870,E12,0.6462
NCIDIV_4870,F12,0.6398
NCIDIV_4870,G12,0.621
NCIDIV_4870,H12,0.6289
NCIDIV_4871,A01,0.51
NCIDIV_4871,B01,0.5894
NCIDIV_4871,C01,0.5423
NCIDIV_4871,D01,0.5248
NCIDIV_4871,E01,0.1722
NCIDIV_4871,F01,0.5611
NCIDIV_4871,G01,0.593
NCIDIV_4871,H01,0.5718
NCIDIV_4871,A02,0.5095
NCIDIV_4871,B02,0.5794
NCIDIV_4871,C02,0.6153
NCIDIV_4871,D02,0.5911
NCIDIV_4871,E02,0.3769
NCIDIV_4871,F02,0.5902
NCIDIV_4871,G02,0.5882
NCIDIV_4871,H02,0.5792
NCIDIV_4871,A03,0.5819
NCIDIV_4871,B03,0.0315
NCIDIV_4871,C03,0.5974
NCIDIV_4871,D03,0.5991
NCIDIV_4871,E03,0.6309
NCIDIV_4871,F03,0.5822
NCIDIV_4871,G03,0.6491
NCIDIV_4871,H03,0.5819
NCIDIV_4871,A04,0.5919
NCIDIV_4871,B04,0.5552
NCIDIV_4871,C04,0.5686
NCIDIV_4871,D04,0.5863
NCIDIV_4871,E04,0.6249
NCIDIV_4871,F04,0.5456
NCIDIV_4871,G04,0.5918
NCIDIV_4871,H04,0.3855
NCIDIV_4871,A05,0.576
NCIDIV_4871,B05,0.0385
NCIDIV_4871,C05,0.036
NCIDIV_4871,D05,0.5797
NCIDIV_4871,E05,0.6277
NCIDIV_4871,F05,0.485
NCIDIV_4871,G05,0.5557
NCIDIV_4871,H05,0.5695
NCIDIV_4871,A06,0.5482
NCIDIV_4871,B06,0.6005
NCIDIV_4871,C06,0.5725
NCIDIV_4871,D06,0.5818
NCIDIV_4871,E06,0.6139
NCIDIV_4871,F06,0.578
NCIDIV_4871,G06,0.59
NCIDIV_4871,H06,0.2669
NCIDIV_4871,A07,0.5313
NCIDIV_4871,B07,0.5728
NCIDIV_4871,C07,0.5506
NCIDIV_4871,D07,0.5777
NCIDIV_4871,E07,0.6148
NCIDIV_4871,F07,0.5667
NCIDIV_4871,G07,0.5618
NCIDIV_4871,H07,0.5034
NCIDIV_4871,A08,0.5559
NCIDIV_4871,B08,0.5637
NCIDIV_4871,C08,0.5044
NCIDIV_4871,D08,0.5666
NCIDIV_4871,E08,0.7513
NCIDIV_4871,F08,0.585
NCIDIV_4871,G08,0.5794
NCIDIV_4871,H08,0.5684
NCIDIV_4871,A09,0.5666
NCIDIV_4871,B09,0.5628
NCIDIV_4871,C09,0.5983
NCIDIV_4871,D09,0.6304
NCIDIV_4871,E09,0.6294
NCIDIV_4871,F09,0.221
NCIDIV_4871,G09,0.5811
NCIDIV_4871,H09,0.5804
NCIDIV_4871,A10,0.0339
NCIDIV_4871,B10,0.5926
NCIDIV_4871,C10,0.5699
NCIDIV_4871,D10,0.7096
NCIDIV_4871,E10,0.6352
NCIDIV_4871,F10,0.5915
NCIDIV_4871,G10,0.5858
NCIDIV_4871,H10,0.4149
NCIDIV_4871,A11,0.6318
NCIDIV_4871,B11,0.6001
NCIDIV_4871,C11,0.5776
NCIDIV_4871,D11,0.6139
NCIDIV_4871,E11,0.6347
NCIDIV_4871,F11,0.5687
NCIDIV_4871,G11,0.0769
NCIDIV_4871,H11,0.5582
NCIDIV_4871,A12,0.7139
NCIDIV_4871,B12,0.6631
NCIDIV_4871,C12,0.6478
NCIDIV_4871,D12,0.6558
NCIDIV_4871,E12,0.6391
NCIDIV_4871,F12,0.6122
NCIDIV_4871,G12,0.0334
NCIDIV_4871,H12,0.068
NCIDIV_4872,A01,0.4895
NCIDIV_4872,B01,0.4914
NCIDIV_4872,C01,0.0387
NCIDIV_4872,D01,0.5302
NCIDIV_4872,E01,0.5127
NCIDIV_4872,F01,0.5116
NCIDIV_4872,G01,0.537
NCIDIV_4872,H01,0.4679
NCIDIV_4872,A02,0.5292
NCIDIV_4872,B02,0.4541
NCIDIV_4872,C02,0.0344
NCIDIV_4872,D02,0.4629
NCIDIV_4872,E02,0.5071
NCIDIV_4872,F02,0.5126
NCIDIV_4872,G02,0.5218
NCIDIV_4872,H02,0.4983
NCIDIV_4872,A03,0.5307
NCIDIV_4872,B03,0.5457
NCIDIV_4872,C03,0.5404
NCIDIV_4872,D03,0.5168
NCIDIV_4872,E03,0.5127
NCIDIV_4872,F03,0.5251
NCIDIV_4872,G03,0.5204
NCIDIV_4872,H03,0.5293
NCIDIV_4872,A04,0.0332
NCIDIV_4872,B04,0.2462
NCIDIV_4872,C04,0.0351
NCIDIV_4872,D04,0.526
NCIDIV_4872,E04,0.5342
NCIDIV_4872,F04,0.3782
NCIDIV_4872,G04,0.1539
NCIDIV_4872,H04,0.501
NCIDIV_4872,A05,0.0428
NCIDIV_4872,B05,0.4803
NCIDIV_4872,C05,0.0367
NCIDIV_4872,D05,0.5315
NCIDIV_4872,E05,0.5183
NCIDIV_4872,F05,0.5447
NCIDIV_4872,G05,0.5121
NCIDIV_4872,H05,0.327
NCIDIV_4872,A06,0.0742
NCIDIV_4872,B06,0.5185
NCIDIV_4872,C06,0.4728
NCIDIV_4872,D06,0.5232
NCIDIV_4872,E06,0.5269
NCIDIV_4872,F06,0.5299
NCIDIV_4872,G06,0.5294
NCIDIV_4872,H06,0.3349
NCIDIV_4872,A07,0.5417
NCIDIV_4872,B07,0.5564
NCIDIV_4872,C07,0.5156
NCIDIV_4872,D07,0.5348
NCIDIV_4872,E07,0.5348
NCIDIV_4872,F07,0.5481
NCIDIV_4872,G07,0.5642
NCIDIV_4872,H07,0.5373
NCIDIV_4872,A08,0.5481
NCIDIV_4872,B08,0.4955
NCIDIV_4872,C08,0.5591
NCIDIV_4872,D08,0.5271
NCIDIV_4872,E08,0.6823
NCIDIV_4872,F08,0.5187
NCIDIV_4872,G08,0.5182
NCIDIV_4872,H08,0.5534
NCIDIV_4872,A09,0.5726
NCIDIV_4872,B09,0.5261
NCIDIV_4872,C09,0.5575
NCIDIV_4872,D09,0.5874
NCIDIV_4872,E09,0.5705
NCIDIV_4872,F09,0.5579
NCIDIV_4872,G09,0.5496
NCIDIV_4872,H09,0.5591
NCIDIV_4872,A10,0.5312
NCIDIV_4872,B10,0.564
NCIDIV_4872,C10,0.555
NCIDIV_4872,D10,0.686
NCIDIV_4872,E10,0.584
NCIDIV_4872,F10,0.2391
NCIDIV_4872,G10,0.556
NCIDIV_4872,H10,0.5449
NCIDIV_4872,A11,0.5569
NCIDIV_4872,B11,0.0335
NCIDIV_4872,C11,0.3953
NCIDIV_4872,D11,0.5683
NCIDIV_4872,E11,0.0328
NCIDIV_4872,F11,0.5828
NCIDIV_4872,G11,0.5561
NCIDIV_4872,H11,0.5785
NCIDIV_4872,A12,0.4892
NCIDIV_4872,B12,0.6192
NCIDIV_4872,C12,0.551
NCIDIV_4872,D12,0.5988
NCIDIV_4872,E12,0.5958
NCIDIV_4872,F12,0.5289
NCIDIV_4872,G12,0.6145
NCIDIV_4872,H12,0.5392
